filepath,filename,stem,label,primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,class_name,inat_taxon_id,author,license,rating,url,collection,duration_sec,duration,rms_mean,rms_std,zcr_mean,centroid_mean,bandwidth_mean,flatness_mean,silence_ratio
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\23176\iNat1293885.ogg,iNat1293885.ogg,iNat1293885,23176,,,,,,,,,,,,,,,39.1124375,30.0,0.09295184165239334,0.0591973252594471,0.3892400615505064,6953.871389504787,2618.638383661905,0.014070694334805012,0.19989339019189764
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\22973\XC929100.ogg,XC929100.ogg,XC929100,22973,,,,,,,,,,,,,,,19.905,19.905,0.03832832723855972,0.020253675058484077,0.25054632592871484,4867.713839632102,2885.988555231224,0.0012233136221766472,0.2
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\yebela1\XC425964.ogg,XC425964.ogg,XC425964,yebela1,,,,,,,,,,,,,,,70.9224375,30.0,0.059160616248846054,0.06336545199155807,0.35116583655383793,5940.220065535448,2112.1107029645013,0.0018071901286020875,0.19989339019189764
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\fabwre1\XC299439.ogg,XC299439.ogg,XC299439,fabwre1,,,,,,,,,,,,,,,13.244,13.244,0.030286109074950218,0.0746939405798912,0.22350425535929952,4628.889150967768,3380.150728689951,0.012123361229896545,0.20048309178743962
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\camfli1\iNat321297.ogg,iNat321297.ogg,iNat321297,camfli1,,,,,,,,,,,,,,,21.757125,21.757125,0.02050667256116867,0.03620745986700058,0.42585772346047795,6950.460903306126,3274.49540389551,0.03301184996962547,0.2
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\gretho2\XC298312.ogg,XC298312.ogg,XC298312,gretho2,,,,,,,,,,,,,,,25.15590625,25.15590625,0.030843688175082207,0.030210202559828758,0.45924760608709475,7654.572742920538,3445.851027860628,0.048750005662441254,0.20025429116338206
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\swthum1\XC572923.ogg,XC572923.ogg,XC572923,swthum1,,,,,,,,,,,,,,,33.8024375,30.0,0.03333904594182968,0.058294933289289474,0.30774160031316633,5660.731785909797,3030.6871273306256,0.012066872790455818,0.19989339019189764
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\smbani\XC372781.ogg,XC372781.ogg,XC372781,smbani,,,,,,,,,,,,,,,5.56409375,5.56409375,0.06028972938656807,0.07663432508707047,0.345721365391523,6539.365614275449,3313.8993679247455,0.028834423050284386,0.20114942528735633
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\ruftho1\XC439755.ogg,XC439755.ogg,XC439755,ruftho1,,,,,,,,,,,,,,,15.20325,15.20325,0.08364485949277878,0.08219014108181,0.34511164235015773,5446.690052509237,1752.6494375105465,0.001193807926028967,0.19978969505783387
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\thlwre1\iNat1439826.ogg,iNat1439826.ogg,iNat1439826,thlwre1,,,,,,,,,,,,,,,8.594,8.594,0.01707267574965954,0.013015106320381165,0.2663165805065056,5041.896081702167,2990.344426523267,0.016619544476270676,0.20074349442379183
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\gycwor1\XC772156.ogg,XC772156.ogg,XC772156,gycwor1,,,,,,,,,,,,,,,64.130625,30.0,0.07326146215200424,0.07615113258361816,0.17451135436100745,4187.369870545953,3239.1191522105855,0.01372821070253849,0.19989339019189764
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\sobcac1\iNat143030.ogg,iNat143030.ogg,iNat143030,sobcac1,,,,,,,,,,,,,,,18.5469375,18.5469375,0.06970357149839401,0.028712045401334763,0.4181341763200431,6954.68525382875,3932.7004942577773,0.06382095813751221,0.2
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\bufpar\iNat1293638.ogg,iNat1293638.ogg,iNat1293638,bufpar,,,,,,,,,,,,,,,15.88246875,15.88246875,0.04740194231271744,0.03844580426812172,0.3945071555576536,6563.661733773089,3219.614271752229,0.01640542596578598,0.20040281973816718
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\stbwoo2\XC706069.ogg,XC706069.ogg,XC706069,stbwoo2,,,,,,,,,,,,,,,26.3053125,26.3053125,0.015702692791819572,0.0277413297444582,0.40821707589285716,6912.689357446986,3083.804217566828,0.027254560962319374,0.2
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\cibspi1\XC699585.ogg,XC699585.ogg,XC699585,cibspi1,,,,,,,,,,,,,,,26.07021875,26.07021875,0.11827722936868668,0.019560666754841805,0.5041752540260737,7584.617663498913,2427.4484630678603,0.0011523058637976646,0.2
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\greant1\XC698630.ogg,XC698630.ogg,XC698630,greant1,,,,,,,,,,,,,,,22.464,22.464,0.08029241859912872,0.04922318086028099,0.2250625556049822,3861.4819594044907,2040.9791876590589,0.0003709468001034111,0.2
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\24285\iNat1208638.ogg,iNat1208638.ogg,iNat1208638,24285,,,,,,,,,,,,,,,151.8580625,30.0,0.16449983417987823,0.026692090556025505,0.3787977141357942,6522.191362951269,2414.291823005872,0.0020484270062297583,0.19989339019189764
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\saffin\iNat1688304.ogg,iNat1688304.ogg,iNat1688304,saffin,,,,,,,,,,,,,,,5.7208125,5.7208125,0.06289976090192795,0.051374632865190506,0.449687936452514,7203.601963313483,2255.466556829335,0.012449951842427254,0.2011173184357542
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\redjun\XC665890.ogg,XC665890.ogg,XC665890,redjun,,,,,,,,,,,,,,,60.288,30.0,0.11853570491075516,0.011901680380105972,0.6531706527352079,9488.022952743177,2783.1637503818247,0.0021942046005278826,0.19989339019189764
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\sobtyr1\XC833397.ogg,XC833397.ogg,XC833397,sobtyr1,,,,,,,,,,,,,,,59.87609375,30.0,0.05871294066309929,0.040134429931640625,0.41126815698294245,6902.906436780784,2443.804181481365,0.004829879384487867,0.19989339019189764
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\bobfly1\iNat1671495.ogg,iNat1671495.ogg,iNat1671495,bobfly1,,,,,,,,,,,,,,,64.0,30.0,0.02162807248532772,0.026326389983296394,0.4287023483308902,7400.312520841219,2411.964049307682,0.009358995594084263,0.19989339019189764
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\rufnig1\XC833295.ogg,XC833295.ogg,XC833295,rufnig1,,,,,,,,,,,,,,,1215.96996875,30.0,0.16041381657123566,0.03900901973247528,0.3290154105310501,6256.527398393434,2854.378104505522,0.004214144311845303,0.19989339019189764
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\grhtan1\XC419208.ogg,XC419208.ogg,XC419208,grhtan1,,,,,,,,,,,,,,,4.80653125,4.80653125,0.16808560490608215,0.088779017329216,0.3206499169435216,5768.256400511226,2418.181519983591,0.0024154188577085733,0.19933554817275748
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\555123\iNat1370876.ogg,iNat1370876.ogg,iNat1370876,555123,,,,,,,,,,,,,,,41.23734375,30.0,0.001798744429834187,0.006590549368411303,0.40462352370402455,6678.5852853951355,3571.327761050326,0.06484460830688477,0.19989339019189764
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\41970\iNat1015847.ogg,iNat1015847.ogg,iNat1015847,41970,,,,,,,,,,,,,,,13.824,13.824,0.14039187133312225,0.04913760721683502,0.3466915417268786,5700.88028141529,1468.172828852151,0.0003431347431614995,0.2
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\23724\iNat249321.ogg,iNat249321.ogg,iNat249321,23724,,,,,,,,,,,,,,,7.848,7.848,0.010926565155386925,0.008143904618918896,0.26472003882382894,3974.8656076060115,1822.9209690678626,0.004814003594219685,0.19959266802443992
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\sptnig1\iNat483063.ogg,iNat483063.ogg,iNat483063,sptnig1,,,,,,,,,,,,,,,27.846,27.846,0.062466345727443695,0.06314517557621002,0.2501068553453475,3619.2878043395776,1494.9538460012018,0.0006285645649768412,0.19988512349224583
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\toctou1\XC78203.ogg,XC78203.ogg,XC78203,toctou1,,,,,,,,,,,,,,,19.38284375,19.38284375,0.14364269375801086,0.021022872999310493,0.5924797435798267,8976.663351831929,3418.09523457231,0.04420202597975731,0.2004950495049505
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\whbant2\iNat1647785.ogg,iNat1647785.ogg,iNat1647785,whbant2,,,,,,,,,,,,,,,33.1855625,30.0,0.01413245964795351,0.006747442297637463,0.576028982459355,9192.996623070829,3366.1566884226745,0.039096344262361526,0.19989339019189764
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\whlspi1\iNat1624316.ogg,iNat1624316.ogg,iNat1624316,whlspi1,,,,,,,,,,,,,,,8.832,8.832,0.07308389991521835,0.02852882258594036,0.505537091715642,8155.664252986005,3350.7539712413736,0.021102726459503174,0.2007233273056058
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\burowl\XC135727.ogg,XC135727.ogg,XC135727,burowl,,,,,,,,,,,,,,,86.17796875,30.0,0.026282113045454025,0.022006114944815636,0.4676386135727612,7783.2855048334095,3504.014238534929,0.052411507815122604,0.19989339019189764
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\pabspi1\XC356781.ogg,XC356781.ogg,XC356781,pabspi1,,,,,,,,,,,,,,,28.39509375,28.39509375,0.038556888699531555,0.04563632234930992,0.4618818772007042,7553.5832379002995,3627.124353535681,0.05443096160888672,0.2
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\sofspi1\XC743242.ogg,XC743242.ogg,XC743242,sofspi1,,,,,,,,,,,,,,,10.24,10.24,0.0559019073843956,0.04325901344418526,0.580711900351014,8555.965924104717,3487.8107232560697,0.018203487619757652,0.1996879875195008
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\saytan1\iNat1467980.ogg,iNat1467980.ogg,iNat1467980,saytan1,,,,,,,,,,,,,,,6.66571875,6.66571875,0.008373483084142208,0.003921873867511749,0.6595590714928058,9691.793751144729,3427.1777888977626,0.013948925770819187,0.2014388489208633
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\magant1\XC9557.ogg,XC9557.ogg,XC9557,magant1,,,,,,,,,,,,,,,16.901,16.901,0.11681032925844193,0.03916747123003006,0.358258466621334,6387.215482667003,2673.265255023107,0.004347026348114014,0.20056764427625354
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\chacha1\XC417966.ogg,XC417966.ogg,XC417966,chacha1,,,,,,,,,,,,,,,638.24978125,30.0,0.04522288590669632,0.022109882906079292,0.35738491554504265,6391.798732973721,3266.2528225818664,0.03913760557770729,0.19989339019189764
C:\Users\yeyuy\Downloads\projet_ml_audio_classique_v7_structured\projet_ml_audio_classique_v7_structured\data\train_audio\mabpar\iNat591256.ogg,iNat591256.ogg,iNat591256,mabpar,,,,,,,,,,,,,,,31.97796875,30.0,0.0329105444252491,0.030099092051386833,0.2703227549473614,4967.210153140746,3142.476220443035,0.027452770620584488,0.19989339019189764
